央视,#genre#
河北卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227399/index.m3u8
东南卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227353/index.m3u8
河南卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227923/index.m3u8
广西卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227939/index.m3u8
吉林卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227935/index.m3u8
甘肃卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227937/index.m3u8
纪实人文,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227349/index.m3u8
金鹰纪实,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227371/index.m3u8
CETV-1,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227339/index.m3u8
CGTN,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227391/index.m3u8
厦门卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227938/index.m3u8
三沙卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227943/index.m3u8
云南卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227133/index.m3u8
山西卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227183/index.m3u8
陕西卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227127/index.m3u8
青海卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227123/index.m3u8
宁夏卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227119/index.m3u8
新疆卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227117/index.m3u8
内蒙古卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227181/index.m3u8
海南卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227139/index.m3u8
西藏卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227131/index.m3u8
安多卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227121/index.m3u8
兵团卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227934/index.m3u8
西藏卫视（藏语）,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227129/index.m3u8
金鹰卡通,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227149/index.m3u8
卡酷卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227189/index.m3u8
CETV2,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227940/index.m3u8
CETV4,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227337/index.m3u8
山东教育,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227945/index.m3u8
四川,#genre#
宜宾新闻综合,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227541/index.m3u8
四川卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227417/index.m3u8
四川新闻,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227411/index.m3u8
新闻综合,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227519/index.m3u8
峨眉电影,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227942/index.m3u8
四川经济,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227415/index.m3u8
四川文化旅游,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227413/index.m3u8
四川影视文艺,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227409/index.m3u8
四川妇女儿童,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227405/index.m3u8
四川科教,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227936/index.m3u8
四川乡村,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227403/index.m3u8
康巴卫视,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227629/index.m3u8
麻辣体育,http://sc.rrs.169ol.com:80/PLTV/88888888/224/3221227811/index.m3u8
一起看,#genre#
阿斗归来了,https://live.dragonproudsky.com/huya/13303478
阿斗归来了3,https://live.dragonproudsky.com/huya/29982685
刘老师说电影,https://live.dragonproudsky.com/huya/20289754
小片片说大片,https://live.dragonproudsky.com/douyu/4258555
牛叔说电影,https://live.dragonproudsky.com/douyu/2758565
经典小品,https://live.dragonproudsky.com/douyu/9067836
哀是麦子的球迷,https://live.dragonproudsky.com/huya/16162176
武林外传,https://live.dragonproudsky.com/yy/1355652820
音乐石榴,https://live.dragonproudsky.com/huya/17091681
音乐Fans小琼,https://live.dragonproudsky.com/douyu/8666210
音乐猛抬头,https://live.dragonproudsky.com/douyu/8666105
下饭音乐,https://live.dragonproudsky.com/douyu/8661966
音乐Wu哥,https://live.dragonproudsky.com/douyu/8667755
音乐快斗,https://live.dragonproudsky.com/douyu/8324627
